<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRG,D,20070322,000000,11.0494,11.3236,10.9643,11.1908,48168.630138562,0
VRG,D,20070323,000000,11.2003,11.229,10.8793,11.144,16857.189041647,0
VRG,D,20070326,000000,11.144,11.144,10.7656,11.0494,26885.473973482,0
VRG,D,20070327,000000,11.0026,11.2854,10.9548,11.2854,92250.383564662,0
VRG,D,20070328,000000,11.3236,11.701,11.3236,11.701,36266.975343652,0
VRG,D,20070329,000000,11.8052,12.9852,11.8052,12.3527,41709.167124653,0
VRG,D,20070330,000000,12.3718,12.7492,12.3718,12.7024,49619.183563267,0
VRG,D,20070402,000000,12.7024,12.7024,12.1921,12.4377,21199.43013768,0
VRG,D,20070403,000000,12.4377,12.7396,12.3431,12.7396,105095.00274316,0
VRG,D,20070404,000000,12.7492,13.6464,12.7492,13.5996,1070027.0027747,0
VRG,D,20070405,000000,13.5996,13.5996,13.4104,13.5996,356475.07398427,0
VRG,D,20070410,000000,13.5996,13.8729,13.4104,13.8729,505788.9315234,0
VRG,D,20070411,000000,13.9866,14.0716,13.8356,14.0621,170671.32055353,0
VRG,D,20070412,000000,13.9866,14.5341,13.3636,13.505,327365.62740797,0
VRG,D,20070413,000000,14.0429,14.0716,13.7878,13.977,66169.726029563,0
VRG,D,20070416,000000,13.7028,14.1471,13.6082,14.0621,19027.786301992,0
VRG,D,20070417,000000,13.505,14.2598,13.505,13.9675,63840.049317157,0
VRG,D,20070418,000000,14.5436,14.5436,13.6082,13.7878,416852.00549309,0
VRG,D,20070419,000000,13.4104,13.505,12.5791,13.505,70754.772605055,0
VRG,D,20070420,000000,13.2308,13.5518,12.9661,13.1266,126007.671237,0
VRG,D,20070423,000000,13.033,13.1266,12.3336,13.1266,105676.89863359,0
VRG,D,20070424,000000,12.7588,13.1266,12.5696,13.1266,61998.076714357,0
VRG,D,20070425,000000,12.8534,13.2021,12.7492,13.033,165631.01370405,0
VRG,D,20070426,000000,13.2212,13.2212,12.8725,13.2212,114211.72055168,0
VRG,D,20070427,000000,13.1362,13.4104,13.1362,13.2212,14909.512329255,0
VRG,D,20070430,000000,13.3636,14.0525,13.1744,14.0525,69908.093152972,0
VRG,D,20070502,000000,14.0716,14.4299,13.7878,13.8356,11574.076712707,0
VRG,D,20070504,000000,13.977,14.1566,13.2308,14.1566,33831.594521655,0
VRG,D,20070507,000000,14.0621,14.0716,13.7028,14.0716,42207.336987682,0
VRG,D,20070508,000000,14.2512,14.2512,13.741,14.0621,315972.60822952,0
VRG,D,20070509,000000,13.826,14.8083,13.826,14.6478,980921.57811429,0
VRG,D,20070510,000000,14.921,15.4408,14.921,15.1102,1306900.4931934,0
VRG,D,20070511,000000,14.921,15.5823,14.4204,15.5354,111416.31781186,0
VRG,D,20070514,000000,15.6386,16.1298,15.6386,15.9979,439650.60275411,0
VRG,D,20070515,000000,16.2435,16.2435,15.781,15.866,95014.389044205,0
VRG,D,20070516,000000,15.9606,16.1298,15.5823,15.7714,168215.00822468,0
VRG,D,20070517,000000,15.7714,15.7714,15.2239,15.5163,71770.997262622,0
VRG,D,20070518,000000,15.5068,15.5068,15.1293,15.2144,64390.547947312,0
VRG,D,20070521,000000,15.4877,15.9415,15.2144,15.7714,30718.032877717,0
VRG,D,20070522,000000,15.866,15.866,15.5823,15.866,16041.90684984,0
VRG,D,20070523,000000,16.0447,16.102,15.2239,15.2239,41561.60000136,0
VRG,D,20070524,000000,15.2144,15.2144,14.6659,15.0634,38088.016439602,0
VRG,D,20070525,000000,14.7328,15.3367,14.7328,15.1293,73380.630139388,0
VRG,D,20070528,000000,15.1102,15.6482,15.1102,15.6482,41836.849316437,0
VRG,D,20070529,000000,15.6386,15.7428,15.4026,15.6768,484631.36439942,0
VRG,D,20070530,000000,15.7237,15.7237,15.394,15.6768,23010.005480205,0
VRG,D,20070531,000000,15.7151,15.7237,15.394,15.4877,333570.77261365,0
VRG,D,20070601,000000,15.2994,15.5823,15.0634,15.5823,776091.0849569,0
VRG,D,20070604,000000,15.6768,15.7714,15.2144,15.6768,69537.605481727,0
VRG,D,20070605,000000,15.5823,15.5823,15.1293,15.394,435245.56713753,0
VRG,D,20070606,000000,14.6382,14.921,14.6191,14.6191,164318.60822456,0
VRG,D,20070608,000000,14.128,14.8742,13.977,14.8742,456443.95069987,0
VRG,D,20070611,000000,14.8265,15.394,14.4681,15.394,39528.104110883,0
VRG,D,20070612,000000,15.4408,15.5823,14.8265,15.5823,240219.39178868,0
VRG,D,20070613,000000,15.2994,15.6768,15.2048,15.6768,23910.060274755,0
VRG,D,20070614,000000,15.394,15.6768,15.394,15.4877,751672.38906569,0
VRG,D,20070615,000000,15.6673,15.6673,15.2994,15.5823,42503.51780961,0
VRG,D,20070618,000000,15.394,15.6673,15.2612,15.5823,303763.26028391,0
VRG,D,20070619,000000,15.2994,15.5354,15.1102,15.5354,289161.44110535,0
VRG,D,20070620,000000,15.4877,15.5631,15.1571,15.5631,103548.16438695,0
VRG,D,20070621,000000,15.2048,15.7714,15.2048,15.7714,33333.424658625,0
VRG,D,20070622,000000,15.7714,16.0543,15.7714,15.866,626882.93152736,0
VRG,D,20070625,000000,16.0543,16.1489,15.866,16.017,478649.13974169,0
VRG,D,20070626,000000,16.017,16.017,15.545,15.8374,35313.545206635,0
VRG,D,20070627,000000,15.6768,15.6768,15.3558,15.545,19769.808219825,0
VRG,D,20070628,000000,15.3462,15.5259,15.2144,15.4877,23263.27671309,0
VRG,D,20070629,000000,15.2994,15.7714,15.2516,15.6768,888227.44660441,0
VRG,D,20070702,000000,15.394,15.6768,15.2994,15.5727,24661.50137067,0
VRG,D,20070703,000000,15.394,15.6673,15.2144,15.6673,13670.367123735,0
VRG,D,20070704,000000,15.4026,15.6768,15.4026,15.6014,529825.6274146,0
VRG,D,20070705,000000,15.63,15.866,15.5823,15.6386,17895.391781407,0
VRG,D,20070706,000000,15.4217,15.6673,15.394,15.6673,2110046.5973293,0
VRG,D,20070709,000000,15.4504,15.5823,15.394,15.5823,1077036.9644188,0
VRG,D,20070710,000000,15.394,15.5823,15.394,15.5823,18319.25479512,0
VRG,D,20070711,000000,15.2994,15.394,14.9029,15.394,572656.72330641,0
VRG,D,20070712,000000,15.3845,15.5823,15.1389,15.5823,21855.632877427,0
VRG,D,20070713,000000,15.6768,15.8183,15.5823,15.6864,463210.06028913,0
VRG,D,20070716,000000,15.5823,15.866,14.6573,15.5068,70522.43287902,0
VRG,D,20070717,000000,15.2516,15.2516,14.921,15.2048,95257.194523665,0
VRG,D,20070718,000000,14.9402,15.0156,14.3544,14.449,162179.40822448,0
VRG,D,20070719,000000,14.3172,15.0156,14.3076,15.0156,71633.895892755,0
VRG,D,20070720,000000,15.1102,15.1102,14.2694,14.2694,45691.386302865,0
VRG,D,20070723,000000,14.279,14.6287,13.9111,14.6287,27160.72328856,0
VRG,D,20070724,000000,14.2694,14.7424,14.1662,14.5436,224865.08493886,0
VRG,D,20070725,000000,14.0812,14.6382,13.977,13.977,57084.40548132,0
VRG,D,20070726,000000,14.1662,14.1662,13.6932,13.6932,436547.5068636,0
VRG,D,20070727,000000,13.4104,13.7878,13.2871,13.6932,497031.18905736,0
VRG,D,20070730,000000,13.6932,13.977,13.42,13.977,159384.00548467,0
VRG,D,20070731,000000,13.5996,14.6287,13.5996,14.6287,54236.673974377,0
VRG,D,20070801,000000,14.3449,14.3449,13.9302,14.1375,46347.589042612,0
VRG,D,20070802,000000,13.6932,14.3544,13.6932,14.1662,31692.394521585,0
VRG,D,20070803,000000,13.9866,13.9961,13.7878,13.8824,42693.994521945,0
VRG,D,20070806,000000,13.5996,13.6369,13.184,13.6369,97015.441099065,0
VRG,D,20070807,000000,13.505,13.6846,13.3817,13.6846,35758.339727197,0
VRG,D,20070808,000000,13.505,13.8729,13.42,13.8729,29575.172603707,0
VRG,D,20070809,000000,13.6932,13.8729,13.5518,13.8729,15936.202740247,0
VRG,D,20070810,000000,13.6932,14.1662,13.3254,14.1662,81079.238358817,0
VRG,D,20070813,000000,13.977,14.1184,13.8069,14.1184,29257.013699588,0
VRG,D,20070814,000000,13.8824,13.977,13.6932,13.8824,46368.520549462,0
VRG,D,20070816,000000,13.4104,13.4104,12.324,13.2212,117166.20274356,0
VRG,D,20070817,000000,13.2212,13.6932,12.8438,13.6932,138269.34794973,0
VRG,D,20070820,000000,14.0716,14.1662,13.6932,13.6932,20574.624658208,0
VRG,D,20070821,000000,13.9302,13.9302,13.2212,13.3158,701883.66029694,0
VRG,D,20070822,000000,13.2212,14.1662,13.2212,14.1662,52711.813700355,0
VRG,D,20070823,000000,14.4586,14.6382,14.128,14.6382,39475.775343758,0
VRG,D,20070824,000000,14.6382,14.6382,14.2417,14.449,58185.40274163,0
VRG,D,20070827,000000,14.6382,14.6382,14.3544,14.6382,16327.621918343,0
VRG,D,20070828,000000,14.364,14.4586,14.3544,14.449,22099.48493223,0
VRG,D,20070829,000000,14.3449,14.3544,14.213,14.3544,44611.320549405,0
VRG,D,20070830,000000,14.279,14.4968,14.0907,14.2512,106926.50959254,0
VRG,D,20070831,000000,14.3544,14.6382,14.0907,14.6382,36923.1780834,0
VRG,D,20070903,000000,14.8265,14.8265,14.6382,14.8265,13109.402740155,0
VRG,D,20070904,000000,14.8265,14.921,14.8265,14.921,51366.964385242,0
VRG,D,20070905,000000,15.1102,15.1102,14.8265,15.0156,42333.972604125,0
VRG,D,20070906,000000,15.0348,15.1102,14.7041,14.8265,77288.542468282,0
VRG,D,20070907,000000,15.0156,15.0156,13.6932,14.8265,134386.55342905,0
VRG,D,20070910,000000,14.685,14.685,14.0716,14.685,32725.364384632,0
VRG,D,20070911,000000,14.6382,15.866,14.2598,14.3544,71669.4794544,0
